,
K ,40
K Crush,50
K Thunder,60
Thick Creamy,60
Caramel,60
5 Star,60
Blackberry,60
Bournville,60
Black Forest,60
Dark Secret,60
Moka Kuka,40
Moka Crush,50
K Nat Thund,60
Irish Crush,65
Irish Thunder,65
Choco Shake,45
R&W Shake,40
B&W Shake,40
PUBG Spe.,70
Cappuccino,30
Americano,30
Latte,40
Hot Milk,25
